docking_state,distance,energy
261,5.44045,-3.29872
254,5.601793,-1.66335
263,6.757163,-0.998432
32,7.002861,-14.0164
55,7.142827,-9.49638
94,7.16002,-10.975
272,7.168893,-0.794401
85,7.239981,-9.07745
14,7.297709,-14.7822
161,7.677057,-7.53589
63,7.854404,-7.68447
242,7.897137,-3.98655
20,8.129116,-13.7793
181,8.30801,-5.3795
29,8.459237,-12.0435
243,8.499344,-4.89067
1,8.501064,-19.6289
25,8.557863,-11.2351
74,8.766899,-13.0373
23,8.819242,-11.5966
43,8.876405,-10.5607
107,8.933077,-12.1672
109,9.130186,-5.72307
208,9.13034,-8.81903
195,9.205366,-8.04613
180,9.306103,-4.28569
223,9.431424,-7.60156
110,9.483278,-8.99772
95,9.57798,-13.0214
193,9.583025,-8.88442
182,9.58555,-7.82273
230,9.649045,-6.22962
141,9.649298,-11.6288
277,9.842331,7.12926
58,9.868508,-9.01561
224,9.952134,-4.69904
112,9.953983,-9.2856
190,9.97905,-6.23008
81,10.107454,-7.24136
165,10.127984,-10.221
147,10.146958,-9.86251
274,10.165127,-2.04236
227,10.213261,-5.87481
117,10.22998,-10.5452
194,10.3303,-6.28138
231,10.407976,-6.27827
151,10.493334,-8.64638
51,10.529526,-9.39185
103,10.561513,-11.9174
247,10.596972,-6.47034
115,10.599383,-11.5613
281,10.763487,10.1696
166,10.768054,-7.41911
199,10.786067,-8.72627
253,10.8781,-0.820337
142,10.926805,-10.279
77,10.952658,-10.2318
125,11.010393,-8.40268
218,11.101993,-6.22565
237,11.128097,-4.65063
215,11.210003,-14.0484
134,11.249078,-8.67151
133,11.287873,-8.41566
214,11.302429,-9.18554
49,11.335671,-13.3945
136,11.338744,-10.9199
278,11.528619,-1.4266
183,11.57416,-5.08198
171,11.576225,-9.69411
197,11.598366,-11.18
68,11.671921,-11.6341
100,11.675975,-11.0729
173,11.680089,-8.26483
116,11.690121,-12.5451
91,11.72495,-13.6141
236,11.785551,-5.89919
102,11.826664,-9.42448
93,11.921634,-12.3139
71,12.077415,-10.6276
127,12.104889,-13.0529
235,12.15071,-6.70479
186,12.268481,-8.81788
21,12.306017,-17.3034
124,12.31853,-16.247
113,12.388308,-22.2138
279,12.446673,-4.60857
225,12.450487,-5.18148
172,12.451272,-10.3325
273,12.492104,-3.96866
258,12.536135,-7.2437
187,12.658066,-16.8566
114,12.691772,-9.6036
209,12.818598,-13.7598
122,12.878857,-7.42216
155,12.990784,-9.68572
168,13.074162,-9.55059
282,13.086044,9.19647
